INFO 2024-06-25 09:31:17,024 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-25 09:31:17,025 autoreload Waiting for apps ready_event.
DEBUG 2024-06-25 09:31:17,574 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-06-25 09:31:17,586 autoreload Watching dir D:\Learning\Projects\honda - excel\templates with glob **/*.
DEBUG 2024-06-25 09:31:17,587 autoreload Watching dir D:\Learning\Projects\honda - excel\frontend\templates with glob **/*.
DEBUG 2024-06-25 09:31:17,587 autoreload Watching dir D:\Learning\Projects\honda - excel\locale with glob **/*.mo.
DEBUG 2024-06-25 09:31:17,588 autoreload Watching dir D:\Learning\Projects\honda - excel\backend\locale with glob **/*.mo.
DEBUG 2024-06-25 09:31:17,589 autoreload Watching dir D:\Learning\Projects\honda - excel\frontend\locale with glob **/*.mo.
DEBUG 2024-06-25 09:31:17,617 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-06-25 09:31:17,622 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-06-25 09:31:17,833 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\db\models\functions\window.py first seen with mtime 1719156104.4180832
DEBUG 2024-06-25 09:31:17,848 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\arrays\arrow\accessors.py first seen with mtime 1719223701.0025792
DEBUG 2024-06-25 09:31:17,848 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\utils\choices.py first seen with mtime 1719156104.5278285
DEBUG 2024-06-25 09:31:17,849 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\compat\_optional.py first seen with mtime 1719223700.9477916
DEBUG 2024-06-25 09:31:17,850 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\numpy\_core\function_base.py first seen with mtime 1719223682.6692643
DEBUG 2024-06-25 09:31:17,850 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\numpy\_typing\_array_like.py first seen with mtime 1719223682.857125
DEBUG 2024-06-25 09:31:17,850 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\numpy\_core\_machar.py first seen with mtime 1719223682.6848905
DEBUG 2024-06-25 09:31:17,850 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\_libs\tslibs\parsing.cp312-win_amd64.pyd first seen with mtime 1719223702.928974
DEBUG 2024-06-25 09:31:17,850 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\computation\engines.py first seen with mtime 1719223701.0356522
DEBUG 2024-06-25 09:31:17,850 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\numpy\lib\npyio.py first seen with mtime 1719223682.3914185
DEBUG 2024-06-25 09:31:17,856 autoreload File C:\Python312\Lib\tarfile.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,856 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1719156104.3240004
DEBUG 2024-06-25 09:31:17,857 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\numpy\random\_sfc64.cp312-win_amd64.pyd first seen with mtime 1719223682.5439012
DEBUG 2024-06-25 09:31:17,857 autoreload File C:\Python312\Lib\traceback.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,858 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\numpy\ma\extras.py first seen with mtime 1719223682.4501743
DEBUG 2024-06-25 09:31:17,859 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\arrays\interval.py first seen with mtime 1719223700.997263
DEBUG 2024-06-25 09:31:17,859 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\apply.py first seen with mtime 1719223700.9534905
DEBUG 2024-06-25 09:31:17,859 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\indexes\datetimes.py first seen with mtime 1719223701.0804608
DEBUG 2024-06-25 09:31:17,859 autoreload File C:\Python312\Lib\_weakrefset.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,859 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\api\interchange\__init__.py first seen with mtime 1719223700.9398146
DEBUG 2024-06-25 09:31:17,859 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\contrib\admin\__init__.py first seen with mtime 1719156102.4197397
DEBUG 2024-06-25 09:31:17,859 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\internals\array_manager.py first seen with mtime 1719223701.0982153
DEBUG 2024-06-25 09:31:17,865 autoreload File C:\Python312\Lib\urllib\request.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,865 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\template\loaders\app_directories.py first seen with mtime 1719156104.4965844
DEBUG 2024-06-25 09:31:17,866 autoreload File C:\Python312\Lib\importlib\_abc.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,866 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1719156104.55907
